TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,192.168.29.2,BIT,200,1100,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
UserCardId,SIEMENSS7,192.168.29.2,STRING,200,1102,26,0,UserCardId,TEXT,0,999,FALSE,FALSE
WorkId,SIEMENSS7,192.168.29.2,STRING,200,1128,26,0,WorkId,TEXT,0,999,FALSE,FALSE
AccessLevel,SIEMENSS7,192.168.29.2,SHORT,200,1154,2,0,AccessLevel,NUMBER,0,999,FALSE,FALSE
FinishSignal,SIEMENSS7,192.168.29.2,BIT,200,5602,1,0,FinishSignal,BOOLEAN,0,999,FALSE,FALSE
ResCode,SIEMENSS7,192.168.29.2,SHORT,200,5604,2,0,ResCode,NUMBER,0,999,FALSE,FALSE
