TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
NJJG[15].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,882,4,0,NJJGTorqueResult15,NUMBER,0,999,TRUE,TRUE
NJJG[15].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,886,4,0,NJJGAngleResult15,NUMBER,0,999,TRUE,TRUE
NJJG[16].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,890,2,0,NJJGResultOK16,NUMBER,0,999,FALSE,FALSE
NJJG[16].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,892,2,0,NJJGOrderNo16,NUMBER,0,999,FALSE,FALSE
NJJG[16].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,894,2,0,NJJGProgramNo16,NUMBER,0,999,FALSE,FALSE
NJJG[16].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,896,4,0,NJJGTorqueResult16,NUMBER,0,999,TRUE,TRUE
NJJG[16].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,900,4,0,NJJGAngleResult16,NUMBER,0,999,TRUE,TRUE
NJJG[17].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,904,2,0,NJJGResultOK17,NUMBER,0,999,FALSE,FALSE
NJJG[17].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,906,2,0,NJJGOrderNo17,NUMBER,0,999,FALSE,FALSE
NJJG[17].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,908,2,0,NJJGProgramNo17,NUMBER,0,999,FALSE,FALSE
NJJG[17].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,910,4,0,NJJGTorqueResult17,NUMBER,0,999,TRUE,TRUE
NJJG[17].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,914,4,0,NJJGAngleResult17,NUMBER,0,999,TRUE,TRUE
NJJG[18].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,918,2,0,NJJGResultOK18,NUMBER,0,999,FALSE,FALSE
NJJG[18].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,920,2,0,NJJGOrderNo18,NUMBER,0,999,FALSE,FALSE
NJJG[18].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,922,2,0,NJJGProgramNo18,NUMBER,0,999,FALSE,FALSE
NJJG[18].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,924,4,0,NJJGTorqueResult18,NUMBER,0,999,TRUE,TRUE
NJJG[18].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,928,4,0,NJJGAngleResult18,NUMBER,0,999,TRUE,TRUE
NJJG[19].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,932,2,0,NJJGResultOK19,NUMBER,0,999,FALSE,FALSE
NJJG[19].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,934,2,0,NJJGOrderNo19,NUMBER,0,999,FALSE,FALSE
NJJG[19].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,936,2,0,NJJGProgramNo19,NUMBER,0,999,FALSE,FALSE
NJJG[19].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,938,4,0,NJJGTorqueResult19,NUMBER,0,999,TRUE,TRUE
NJJG[19].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,942,4,0,NJJGAngleResult19,NUMBER,0,999,TRUE,TRUE
NJJG[20].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,946,2,0,NJJGResultOK20,NUMBER,0,999,FALSE,FALSE
NJJG[20].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,948,2,0,NJJGOrderNo20,NUMBER,0,999,FALSE,FALSE
NJJG[20].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,950,2,0,NJJGProgramNo20,NUMBER,0,999,FALSE,FALSE
NJJG[20].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,952,4,0,NJJGTorqueResult20,NUMBER,0,999,TRUE,TRUE
NJJG[20].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,956,4,0,NJJGAngleResult20,NUMBER,0,999,TRUE,TRUE
NJJG[21].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,960,2,0,NJJGResultOK21,NUMBER,0,999,FALSE,FALSE
NJJG[21].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,962,2,0,NJJGOrderNo21,NUMBER,0,999,FALSE,FALSE
NJJG[21].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,964,2,0,NJJGProgramNo21,NUMBER,0,999,FALSE,FALSE
NJJG[21].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,966,4,0,NJJGTorqueResult21,NUMBER,0,999,TRUE,TRUE
NJJG[21].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,970,4,0,NJJGAngleResult21,NUMBER,0,999,TRUE,TRUE
NJJG[22].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,974,2,0,NJJGResultOK22,NUMBER,0,999,FALSE,FALSE
NJJG[22].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,976,2,0,NJJGOrderNo22,NUMBER,0,999,FALSE,FALSE
NJJG[22].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,978,2,0,NJJGProgramNo22,NUMBER,0,999,FALSE,FALSE
NJJG[22].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,980,4,0,NJJGTorqueResult22,NUMBER,0,999,TRUE,TRUE
NJJG[22].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,984,4,0,NJJGAngleResult22,NUMBER,0,999,TRUE,TRUE
NJJG[23].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,988,2,0,NJJGResultOK23,NUMBER,0,999,FALSE,FALSE
NJJG[23].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,990,2,0,NJJGOrderNo23,NUMBER,0,999,FALSE,FALSE
NJJG[23].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,992,2,0,NJJGProgramNo23,NUMBER,0,999,FALSE,FALSE
NJJG[23].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,994,4,0,NJJGTorqueResult23,NUMBER,0,999,TRUE,TRUE
NJJG[23].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,998,4,0,NJJGAngleResult23,NUMBER,0,999,TRUE,TRUE
NJJG[24].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,1002,2,0,NJJGResultOK24,NUMBER,0,999,FALSE,FALSE
NJJG[24].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,1004,2,0,NJJGOrderNo24,NUMBER,0,999,FALSE,FALSE
NJJG[24].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,1006,2,0,NJJGProgramNo24,NUMBER,0,999,FALSE,FALSE
NJJG[24].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,1008,4,0,NJJGTorqueResult24,NUMBER,0,999,TRUE,TRUE
NJJG[24].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,1012,4,0,NJJGAngleResult24,NUMBER,0,999,TRUE,TRUE
NJJG[25].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,1016,2,0,NJJGResultOK25,NUMBER,0,999,FALSE,FALSE
NJJG[25].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,1018,2,0,NJJGOrderNo25,NUMBER,0,999,FALSE,FALSE
NJJG[25].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,1020,2,0,NJJGProgramNo25,NUMBER,0,999,FALSE,FALSE
NJJG[25].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,1022,4,0,NJJGTorqueResult25,NUMBER,0,999,TRUE,TRUE
NJJG[25].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,1026,4,0,NJJGAngleResult25,NUMBER,0,999,TRUE,TRUE
NJJG[26].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,1030,2,0,NJJGResultOK26,NUMBER,0,999,FALSE,FALSE
NJJG[26].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,1032,2,0,NJJGOrderNo26,NUMBER,0,999,FALSE,FALSE
NJJG[26].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,1034,2,0,NJJGProgramNo26,NUMBER,0,999,FALSE,FALSE
NJJG[26].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,1036,4,0,NJJGTorqueResult26,NUMBER,0,999,TRUE,TRUE
NJJG[26].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,1040,4,0,NJJGAngleResult26,NUMBER,0,999,TRUE,TRUE
NJJG[27].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,1044,2,0,NJJGResultOK27,NUMBER,0,999,FALSE,FALSE
NJJG[27].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,1046,2,0,NJJGOrderNo27,NUMBER,0,999,FALSE,FALSE
NJJG[27].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,1048,2,0,NJJGProgramNo27,NUMBER,0,999,FALSE,FALSE
NJJG[27].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,1050,4,0,NJJGTorqueResult27,NUMBER,0,999,TRUE,TRUE
NJJG[27].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,1054,4,0,NJJGAngleResult27,NUMBER,0,999,TRUE,TRUE
