TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.35.2,BIT,200,800,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
UserCardId,SIEMENSS7,172.16.35.2,STRING,200,802,26,0,UserCardId,TEXT,0,999,FALSE,FALSE
WorkId,SIEMENSS7,172.16.35.2,STRING,200,828,26,0,WorkId,TEXT,0,999,FALSE,FALSE
AccessLevel,SIEMENSS7,172.16.35.2,SHORT,200,854,2,0,AccessLevel,NUMBER,0,999,FALSE,FALSE
FinishSignal,SIEMENSS7,172.16.35.2,BIT,200,4602,1,0,FinishSignal,BOOLEAN,0,999,FALSE,FALSE
ResCode,SIEMENSS7,172.16.35.2,SHORT,200,4604,2,0,ResCode,NUMBER,0,999,FALSE,FALSE
