TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.30.2,BIT,200,200,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
SFC,SIEMENSS7,172.16.30.2,STRING,200,202,26,0,SFC,TEXT,0,999,FALSE,FALSE
Code,SIEMENSS7,172.16.30.2,STRING,200,228,26,0,Code,TEXT,0,999,FALSE,FALSE
FinishSignal,SIEMENSS7,172.16.30.2,BIT,200,4102,1,0,FinishSignal ,BOOLEAN,0,999,FALSE,FALSE
ResCode,SIEMENSS7,172.16.30.2,SHORT,200,4104,2,0,ResCode,NUMBER,0,999,FALSE,FALSE
